ABB,ABB India Ltd.
ACC,ACC Ltd.
ADANIENT,Adani Enterprises Ltd.
ADANIGREEN,Adani Green Energy Ltd.
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.
ATGL,Adani Total Gas Ltd.
ADANITRANS,Adani Transmission Ltd.
AWL,Adani Wilmar Ltd.
AMBUJACEM,Ambuja Cements Ltd.
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.
ASIANPAINT,Asian Paints Ltd.
DMART,Avenue Supermarts Ltd.
AXISBANK,Axis Bank Ltd.
BAJAJ-AUTO,Bajaj Auto Ltd.
BAJFINANCE,Bajaj Finance Ltd.
BAJAJFINSV,Bajaj Finserv Ltd.
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.
BANKBARODA,Bank of Baroda
BERGEPAINT,Berger Paints India Ltd.
BEL,Bharat Electronics Ltd.
BPCL,Bharat Petroleum Corporation Ltd.
BHARTIARTL,Bharti Airtel Ltd.
BOSCHLTD,Bosch Ltd.
BRITANNIA,Britannia Industries Ltd.
CANBK,Canara Bank
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.
CIPLA,Cipla Ltd.
COALINDIA,Coal India Ltd.
COLPAL,Colgate Palmolive (India) Ltd.
DLF,DLF Ltd.
DABUR,Dabur India Ltd.
DIVISLAB,Divi's Laboratories Ltd.
DRREDDY,Dr. Reddy's Laboratories Ltd.
EICHERMOT,Eicher Motors Ltd.
NYKAA,FSN E-Commerce Ventures Ltd.
GAIL,GAIL (India) Ltd.
GODREJCP,Godrej Consumer Products Ltd.
GRASIM,Grasim Industries Ltd.
HCLTECH,HCL Technologies Ltd.
HDFCAMC,HDFC Asset Management Company Ltd.
HDFCBANK,HDFC Bank Ltd.
HDFCLIFE,HDFC Life Insurance Company Ltd.
HAVELLS,Havells India Ltd.
HEROMOTOCO,Hero MotoCorp Ltd.
HINDALCO,Hindalco Industries Ltd.
HAL,Hindustan Aeronautics Ltd.
HINDUNILVR,Hindustan Unilever Ltd.
HDFC,Housing Development Finance Corporation Ltd.
ICICIBANK,ICICI Bank Ltd.
ICICIGI,ICICI Lombard General Insurance Company Ltd.
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.
ITC,ITC Ltd.
IOC,Indian Oil Corporation Ltd.
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.
INDUSTOWER,Indus Towers Ltd.
INDUSINDBK,IndusInd Bank Ltd.
NAUKRI,Info Edge (India) Ltd.
INFY,Infosys Ltd.
INDIGO,InterGlobe Aviation Ltd.
JSWSTEEL,JSW Steel Ltd.
KOTAKBANK,Kotak Mahindra Bank Ltd.
LTIM,LTIMindtree Ltd.
LT,Larsen & Toubro Ltd.
LICI,Life Insurance Corporation of India
M&M,Mahindra & Mahindra Ltd.
MARICO,Marico Ltd.
MARUTI,Maruti Suzuki India Ltd.
MUTHOOTFIN,Muthoot Finance Ltd.
NTPC,NTPC Ltd.
NESTLEIND,Nestle India Ltd.
ONGC,Oil & Natural Gas Corporation Ltd.
PIIND,PI Industries Ltd.
PAGEIND,Page Industries Ltd.
PIDILITIND,Pidilite Industries Ltd.
POWERGRID,Power Grid Corporation of India Ltd.
PGHH,Procter & Gamble Hygiene & Health Care Ltd.
RELIANCE,Reliance Industries Ltd.
SBICARD,SBI Cards and Payment Services Ltd.
SBILIFE,SBI Life Insurance Company Ltd.
SRF,SRF Ltd.
MOTHERSON,Samvardhana Motherson International Ltd.
SHREECEM,Shree Cement Ltd.
SIEMENS,Siemens Ltd.
SBIN,State Bank of India
SUNPHARMA,Sun Pharmaceutical Industries Ltd.
TCS,Tata Consultancy Services Ltd.
TATACONSUM,Tata Consumer Products Ltd.
TATAMOTORS,Tata Motors Ltd.
TATAPOWER,Tata Power Co. Ltd.
TATASTEEL,Tata Steel Ltd.
TECHM,Tech Mahindra Ltd.
TITAN,Titan Company Ltd.
TORNTPHARM,Torrent Pharmaceuticals Ltd.
UPL,UPL Ltd.
ULTRACEMCO,UltraTech Cement Ltd.
MCDOWELL-N,United Spirits Ltd.
VBL,Varun Beverages Ltd.
VEDL,Vedanta Ltd.
WIPRO,Wipro Ltd.
ZOMATO,Zomato Ltd.
