360ONE,360 ONE WAM Ltd.
3MINDIA,3M India Ltd.
ABB,ABB India Ltd.
ACC,ACC Ltd.
AIAENG,AIA Engineering Ltd.
APLAPOLLO,APL Apollo Tubes Ltd.
AUBANK,AU Small Finance Bank Ltd.
AARTIDRUGS,Aarti Drugs Ltd.
AARTIIND,Aarti Industries Ltd.
AAVAS,Aavas Financiers Ltd.
ABBOTINDIA,Abbott India Ltd.
ADANIENT,Adani Enterprises Ltd.
ADANIGREEN,Adani Green Energy Ltd.
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.
ADANIPOWER,Adani Power Ltd.
ATGL,Adani Total Gas Ltd.
ADANITRANS,Adani Transmission Ltd.
AWL,Adani Wilmar Ltd.
ABCAPITAL,Aditya Birla Capital Ltd.
ABFRL,Aditya Birla Fashion and Retail Ltd.
AEGISCHEM,Aegis Logistics Ltd.
AETHER,Aether Industries Ltd.
AFFLE,Affle (India) Ltd.
AJANTPHARM,Ajanta Pharmaceuticals Ltd.
APLLTD,Alembic Pharmaceuticals Ltd.
ALKEM,Alkem Laboratories Ltd.
ALKYLAMINE,Alkyl Amines Chemicals Ltd.
AMARAJABAT,Amara Raja Batteries Ltd.
AMBER,Amber Enterprises India Ltd.
AMBUJACEM,Ambuja Cements Ltd.
ANGELONE,Angel One Ltd.
ANURAS,Anupam Rasayan India Ltd.
APARINDS,Apar Industries Ltd.
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.
APOLLOTYRE,Apollo Tyres Ltd.
APTUS,Aptus Value Housing Finance India Ltd.
ACI,Archean Chemical Industries Ltd.
ASAHIINDIA,Asahi India Glass Ltd.
ASHOKLEY,Ashok Leyland Ltd.
ASIANPAINT,Asian Paints Ltd.
ASTERDM,Aster DM Healthcare Ltd.
ASTRAL,Astral Ltd.
ATUL,Atul Ltd.
AUROPHARMA,Aurobindo Pharma Ltd.
AVANTIFEED,Avanti Feeds Ltd.
DMART,Avenue Supermarts Ltd.
AXISBANK,Axis Bank Ltd.
BASF,BASF India Ltd.
BEML,BEML Ltd.
BLS,BLS International Services Ltd.
BSE,BSE Ltd.
BAJAJ-AUTO,Bajaj Auto Ltd.
BAJFINANCE,Bajaj Finance Ltd.
BAJAJFINSV,Bajaj Finserv Ltd.
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.
BALAMINES,Balaji Amines Ltd.
BALKRISIND,Balkrishna Industries Ltd.
BALRAMCHIN,Balrampur Chini Mills Ltd.
BANDHANBNK,Bandhan Bank Ltd.
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
MAHABANK,Bank of Maharashtra
BATAINDIA,Bata India Ltd.
BAYERCROP,Bayer Cropscience Ltd.
BERGEPAINT,Berger Paints India Ltd.
BDL,Bharat Dynamics Ltd.
BEL,Bharat Electronics Ltd.
BHARATFORG,Bharat Forge Ltd.
BHEL,Bharat Heavy Electricals Ltd.
BPCL,Bharat Petroleum Corporation Ltd.
BHARTIARTL,Bharti Airtel Ltd.
BIKAJI,Bikaji Foods International Ltd.
BIOCON,Biocon Ltd.
BIRLACORPN,Birla Corporation Ltd.
BSOFT,Birlasoft Ltd.
BLUEDART,Blue Dart Express Ltd.
BLUESTARCO,Blue Star Ltd.
BBTC,Bombay Burmah Trading Corporation Ltd.
BORORENEW,Borosil Renewables Ltd.
BOSCHLTD,Bosch Ltd.
BRIGADE,Brigade Enterprises Ltd.
BCG,Brightcom Group Ltd.
BRITANNIA,Britannia Industries Ltd.
MAPMYINDIA,C.E. Info Systems Ltd.
CCL,CCL Products (I) Ltd.
CESC,CESC Ltd.
CGPOWER,CG Power and Industrial Solutions Ltd.
CIEINDIA,CIE Automotive India Ltd.
CRISIL,CRISIL Ltd.
CSBBANK,CSB Bank Ltd.
CAMPUS,Campus Activewear Ltd.
CANFINHOME,Can Fin Homes Ltd.
CANBK,Canara Bank
CGCL,Capri Global Capital Ltd.
CARBORUNIV,Carborundum Universal Ltd.
CASTROLIND,Castrol India Ltd.
CEATLTD,Ceat Ltd.
CENTRALBK,Central Bank of India
CDSL,Central Depository Services (India) Ltd.
CENTURYPLY,Century Plyboards (India) Ltd.
CENTURYTEX,Century Textile & Industries Ltd.
CERA,Cera Sanitaryware Ltd
CHALET,Chalet Hotels Ltd.
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.
CHEMPLASTS,Chemplast Sanmar Ltd.
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.
CIPLA,Cipla Ltd.
CUB,City Union Bank Ltd.
CLEAN,Clean Science and Technology Ltd.
COALINDIA,Coal India Ltd.
COCHINSHIP,Cochin Shipyard Ltd.
COFORGE,Coforge Ltd.
COLPAL,Colgate Palmolive (India) Ltd.
CAMS,Computer Age Management Services Ltd.
CONCOR,Container Corporation of India Ltd.
COROMANDEL,Coromandel International Ltd.
CRAFTSMAN,Craftsman Automation Ltd.
CREDITACC,CreditAccess Grameen Ltd.
CROMPTON,Crompton Greaves Consumer Electricals Ltd.
CUMMINSIND,Cummins India Ltd.
CYIENT,Cyient Ltd.
DCMSHRIRAM,DCM Shriram Ltd.
DLF,DLF Ltd.
DABUR,Dabur India Ltd.
DALBHARAT,Dalmia Bharat Ltd.
DATAPATTNS,Data Patterns (India) Ltd.
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.
